date,event,description
1713-04-11,Signing of the Treaty of Utrecht,Ended the War of the Spanish Succession
1808-05-02,Peninsular War,"Weakened Spanish control, rise of national sentiment"
1812-03-19,Spanish Constitution of 1812,"Liberal constitution, shortUnknownlived reforms"
1898-01-01,SpanishUnknownAmerican War,Loss of last major overseas colonies
1939-04-01,Francoist Spain,Establishment of a dictatorship
1975-01-01,Spanish Transition to Democracy,Transition from dictatorship to democracy
1992-07-25,Barcelona Olympics,Showcased Spain on the global stage
2000-12-08,AntiUnknownterrorism Pact,Bipartisan effort against ETA terrorism
2008-01-01,Financial Crisis Impact,"Severe economic downturn, unemployment rise"
2017-10-01,Catalan Independence Referendum,Intensified national debate on regional independence
2018-03-08,Women's Rights March,Largest feminist demonstration in Spanish history
2019-10-24,Exhumation of Francisco Franco,Addressed historical memory issues
2013-09-07,Madrid's Bid for 2020 Olympics,"Boosted city's infrastructure and global image, despite not winning the bid"
2005-06-30,Approval of SameUnknownSex Marriage,Made Spain one of the first countries to legalize sameUnknownsex marriage
2011-10-20,ETA's Permanent Ceasefire,End of ETA's armed campaign for Basque independence
2010-01-01,Austerity Measures During Crisis,"Addressed economic crisis, led to social unrest"
2018-06-01,NoUnknownConfidence Vote Against Rajoy,"Led to the fall of Rajoy's government, Pedro Sánchez becomes Prime Minister"
1879-01-01,Discovery of Altamira Cave Paintings,Revealed prehistoric human presence in Europe
1918-01-01,Spanish Flu Pandemic,One of the deadliest pandemics in human history
1492-03-31,Alhambra Decree,Expulsion of the Jews from Spain
1978-12-06,Spanish Constitution of 1978,Established modern democratic constitution
2010-07-11,2010 FIFA World Cup Victory,"First World Cup win, boosted national pride"
1992-04-21,Launch of AVE HighUnknownSpeed Train,Modernized Spain's transport system
2007-12-26,Law of Historical Memory,"Addressed the legacy of Franco's regime, civil war victims"
1588-08-08,Sinking of the Spanish Armada,Marked decline of Spanish naval supremacy
1779-06-24,The Great Siege of Gibraltar,Failed Spanish attempt to retake Gibraltar from Britain
1542-01-01,Leyes de Indias,Regulated the treatment of indigenous peoples in the Spanish Empire
1100-01-01,Introduction of Phoenician Trade,"Early Phoenician traders establish contacts, leading to cultural and economic exchanges"
0711-01-01,Battle of Guadalete,Marked the beginning of Muslim rule in the Iberian Peninsula
1100-01-01,Establishment of Gadir by Phoenicians,One of the oldest continuously inhabited cities in Western Europe
0940-01-01,Gorm the Old Reign,"Established the Danish monarchy, unified Denmark."
0960-01-01,Christianization of Denmark,Introduction and establishment of Christianity.
1000-01-01,Christianization of Norway,Introduction and establishment of Christianity.
1150-01-01,Swedish Conquest of Finland,Brought Finland under Swedish rule.
1397-01-01,Establishment of the Kalmar Union,United the Nordic countries under a single monarch.
1349-01-01,Black Death in Norway,"Decimated the population, leading to societal shifts."
1362-01-01,Establishment as Swedish Duchy,Formalized Finnish inclusion in the Swedish Kingdom.
1658-02-26,Treaty of Roskilde,Denmark ceded significant territories to Sweden.
1814-01-01,Dissolution of the Kalmar Union,Led to the establishment of a separate Norwegian kingdom.
1809-01-01,Finnish War and Cession to Russia,"Finland ceded from Sweden to Russia, becoming a Grand Duchy."
1939-01-01,Winter War,Resisted Soviet invasion
1945-05-05,Liberation of Denmark,End of German occupation during WWII.
1945-05-08,Liberation of Norway,End of German occupation during WWII.
1941-01-01,Continuation War,Fought against the Soviet Union
1728-01-01,Copenhagen Fire,Devastated large parts of Copenhagen.
1814-11-04,Union with Sweden,Entered a personal union with Sweden.
1944-01-01,Lapland War,Finland
1848-01-01,First Schleswig War,Danish victory preserved control over the duchies.
1905-06-07,Norwegian Independence,Dissolution of the union with Sweden
1918-01-01,Finnish Civil War,Conflict between Reds and Whites
1864-01-01,Second Schleswig War,Danish loss of SchleswigUnknownHolstein to Prussia and Austria.
1048-01-01,Founding of Oslo,Establishment of Oslo
1809-09-01,Signing of the Treaty of Fredrikshamn,Finland ceded from Sweden to Russia
1867-01-01,Discovery of Diamonds,"Sparked the diamond rush, leading to economic boom."
1914-01-01,Amalgamation of Northern and Southern Protectorates,Formation of the modern Nigerian state.
1952-01-01,Mau Mau Uprising,Led to Kenyan independence from British rule.
1954-01-01,Algerian War of Independence,Led to Algerian independence from France.
1911-01-01,Italian Invasion of Libya,Beginning of Italian colonial rule.
1956-03-20,Independence from France,End of French colonial rule.
1450-01-01,Great Zimbabwe Era,Development of a sophisticated urban and trading society.
1062-01-01,Foundation of Marrakech,Establishment of Marrakech as a major economic center.
1482-01-01,Portuguese Colonialism Begins,Start of Portuguese exploration and later colonization.
1869-11-17,Suez Canal Opening,"Connected the Mediterranean Sea to the Red Sea, boosting trade."
1994-04-01,Rwandan Genocide,Mass slaughter of the Tutsi population.
1971-01-01,Idi Amin's Regime,"Brutal dictatorship, human rights abuses."
1991-01-01,Somali Civil War Begins,Led to state collapse and ongoing conflict.
1966-09-30,Independence from Britain,Transition from British protectorate to independence.
1990-03-21,Independence from South Africa,End of South African rule and apartheid in Namibia.
1881-01-01,Mahdist War,Establishment of the Mahdist state in Sudan.
1960-08-07,Independence from France,"End of French colonial rule, start of sovereignty."
1957-03-06,Ghana's Independence,First SubUnknownSaharan African country to gain independence.
1964-04-26,Union of Tanganyika and Zanzibar,Formation of Tanzania through the union of two sovereign states.
1969-09-01,Libyan Revolution (1969),"Overthrow of the monarchy, Muammar Gaddafi came to power."
1960-06-26,Independence from France,End of French colonial rule.
1974-09-12,Ethiopian Revolution,"Overthrow of Emperor Haile Selassie, start of Derg regime."
1967-07-06,Nigerian Civil War,"Conflict over the secessionist state of Biafra, massive casualties."
1960-03-21,Sharpeville Massacre,"AntiUnknownapartheid protest met with police violence, significant deaths."
1956-01-01,Battle of Algiers,Pivotal conflict in the Algerian War of Independence.
1975-06-25,Independence from Portugal,End of Portuguese colonial rule after a protracted liberation struggle.
1964-10-24,Independence from Britain,"Gained sovereignty, ending British colonial rule."
1960-04-04,Independence from France,Gained independence along with the Mali Federation.
1960-06-30,Independence from Belgium,"End of Belgian colonial rule, beginning of postUnknowncolonial challenges."
1961-04-27,Independence from Britain,Transition to sovereignty after British rule.
1960-09-22,Independence from France,Gained independence as part of the Mali Federation.
1983-08-04,August Revolution,"Thomas Sankara came to power, initiating radical reforms."
1980-04-18,Independence from Britain,Marked the end of Rhodesian rule and the beginning of majority rule.
1952-07-23,Egyptian Revolution of 1952,"Overthrow of the monarchy, establishment of a republic."
1963-12-12,Independence from Britain,"End of British colonial rule, Jomo Kenyatta became president."
1960-01-01,Independence from France,Gained independence from French administration.
1993-05-24,Independence from Ethiopia,"Achieved de facto independence after a 30Unknownyear war, followed by a UNUnknownsupervised referendum."
1990-02-11,Nelson Mandela's Release from Prison,Marked the beginning of the end of apartheid.
1993-08-04,Signing of Arusha Accords,Attempted to end the Rwandan Civil War.
2005-01-09,Comprehensive Peace Agreement,"Ended the Second Sudanese Civil War, led to South Sudan's independence."
2011-02-17,Libyan Civil War,Overthrow of Muammar Gaddafi's regime.
1960-10-01,Independence from Britain,"Gained independence, became a republic in 1963."
1960-08-01,Dahomey (Benin) Independence,Transition from French colonial rule to sovereignty.
2010-12-18,Tunisian Revolution,"Triggered the Arab Spring, leading to democratization."
1981-08-06,Abolition of Slavery,"First country in the world to abolish slavery by law, though enforcement issues remain."
1960-08-17,Independence from France,End of French colonial rule.
1966-10-04,Independence from Britain,Transition from British protectorate to independent kingdom.
1965-02-18,Independence from Britain,Gained independence within the Commonwealth.
1977-06-27,Independence from France,End of French colonial rule after referendum.
1968-10-12,Independence from Spain,Transition from Spanish colony to independence.
1976-06-29,Independence from Britain,Became a sovereign state after 162 years of British rule.
1960-07-01,Independence and Unification,Union of British Somaliland and Italian Somaliland.
1975-07-05,Independence from Portugal,Gained independence after the Carnation Revolution in Portugal.
1973-09-24,Independence from Portugal,"Declared independence, recognized in 1974 after the Carnation Revolution."
1975-07-06,Independence from France,Gained independence following a referendum.
1975-11-11,Independence from Portugal,Achieved independence following the Carnation Revolution and Alvor Agreement.
1960-08-13,Independence from France,Transition from French colony to independence.
1960-08-11,Independence from France,Gained independence from French colonial rule.
1964-07-06,Independence from Britain,Transition from British protectorate to independent nation.
1962-07-01,Independence from Belgium,Gained independence alongside Rwanda from Belgian administration.
1960-08-15,Independence from France,Became independent from French colonial empire.
1960-04-27,Independence from France,Transition from French mandate to sovereign state.
1960-08-07,Independence from France,Marked the end of French colonial rule in Ivory Coast.
1960-08-03,Independence from France,Gained independence from French colonial administration.
1968-09-06,Independence from Britain,Became independent from British rule.
1958-10-02,Independence from France,"First French African colony to gain independence, rejecting the French Community."
1991-01-01,Movement for Multiparty Democracy,Transition from oneUnknownparty state to multiparty democracy.
1992-10-04,Mozambique Civil War Ends,"End of a devastating civil war, leading to peace and reconstruction."
1994-04-27,End of Apartheid,"First democratic elections open to all races, Nelson Mandela elected."
1993-04-01,Eritrean Independence Referendum,Eritreans vote for independence from Ethiopia.
1990-03-21,Namibian Independence,Independence from South African rule.
2000-01-01,Land Reform Program Begins,Controversial redistribution of land from white to black Zimbabweans.
2002-01-01,Algerian Civil War Ends,End of a decadeUnknownlong civil war.
2002-01-18,End of Sierra Leone Civil War,"Marked the end of the civil war, beginning of peacebuilding efforts."
2001-01-01,Gacaca Courts Initiated,"Community courts to address the genocide, promoting reconciliation and justice."
2011-01-01,Joseph Kony Insurgency Declines,"Significant decline in LRA activities, improvement in regional security."
2011-10-20,Fall of Gaddafi,"Marked the end of Muammar Gaddafi's 42Unknownyear rule, leading to a period of instability."
2011-01-25,Egyptian Revolution of 2011,Led to the overthrow of President Hosni Mubarak.
2012-03-22,Coup d'état,"Military coup overthrew the government, leading to political instability and conflict."
2012-12-01,Seleka Rebellion Begins,"Sparked a civil war, leading to ongoing conflict and humanitarian crisis."
2009-01-01,Boko Haram Insurgency Intensifies,"Led to thousands of deaths and displacement, challenging national security."
2011-07-09,Independence from Sudan,"Became the newest country in the world, following a referendum."
2014-10-31,Fall of Blaise Compaoré,"Ended Blaise Compaoré's 27Unknownyear rule, sparked by mass protests."
2017-11-21,Coup d'état Leads to Mugabe's Resignation,"Ended Robert Mugabe's 37Unknownyear rule, Emmerson Mnangagwa became president."
2018-04-02,Appointment of Abiy Ahmed,Led to significant political reforms and a peace agreement with Eritrea.
2018-12-19,Sudanese Revolution,"Overthrow of President Omar alUnknownBashir, leading to transitional government."
2019-02-22,Hirak Protest Movement,Led to the resignation of President Abdelaziz Bouteflika after 20 years in power.
1981-01-01,Abolition of Slavery Enforced,"Criminalization of slavery, though challenges in enforcement remain."
1989-01-01,Operation Carlota Ends,"Cuban military withdrawal, pivotal in ending South African apartheid."
2019-01-15,Nairobi's DusitD2 Complex Attack,Highlighted the ongoing threat of terrorism in East Africa.
2019-03-14,Cyclone Idai,"One of the worst tropical cyclones on record in Africa, causing widespread destruction."
2020-11-04,Tigray Conflict Begins,"Conflict between Ethiopian government forces and TPLF, leading to humanitarian crisis."
2020-10-08,#EndSARS Protests,Nationwide protests against police brutality and corruption.
2020-10-03,Juba Peace Agreement,"Aimed at ending conflicts in Darfur, South Kordofan, and Blue Nile states."
2021-01-14,2021 General Elections,"Marked by allegations of fraud and violence, Yoweri Museveni reUnknownelected."
2021-04-20,Death of President Idriss Déby,"Died from injuries sustained in clashes with rebels, leading to political uncertainty."
1500-04-22,Discovery by Portugal,Beginning of Portuguese colonization
1822-09-07,Independence from Portugal,Transition to Empire of Brazil
1888-05-13,Abolition of Slavery,End of slavery in Brazil
1889-11-15,Proclamation of the Republic,End of the Brazilian Empire and the start of the Republic
1930-11-03,Vargas Era Begins,Start of Getúlio Vargas' rule
1964-03-31,Military Coup,Beginning of military dictatorship lasting until 1985
1984-01-01,Direct Elections Now Campaign,Nationwide protests for direct presidential elections
1994-07-01,Real Plan Implementation,Stabilization of Brazilian economy and introduction of the Real (R$)
2003-01-01,Lula da Silva's Presidency,First workingUnknownclass president
2002-06-30,FIFA World Cup Victory,Brazil wins its first FIFA World Cup boosting national pride
1960-04-21,Construction of Brasília,Creation of a new capital aiming at interior development and national integration
1967-01-01,Tropicália Movement,AvantUnknowngarde music and arts movement challenging traditional Brazilian culture
1992-12-29,Fernando Collor's Impeachment,First Brazilian president to be impeached due to corruption charges
1994-07-01,Plano Real Economic Stabilization,Introduction of the Real (R$) to stabilize the Brazilian economy
1992-06-01,Rio Earth Summit,International conference on environment and sustainability
1995-01-01,FHC Presidency (Fernando Henrique Cardoso),Implementation of economic reforms and Plano Real
2005-01-01,Mensalão Scandal,Major corruption scandal involving bribery and misuse of public funds
2016-08-31,Dilma Rousseff's Impeachment,Second Brazilian president to be impeached accused of fiscal mismanagement
2015-01-01,Zika Virus Outbreak,Major health crisis linked to birth defects sparking international concern
2014-01-01,Operation Car Wash (Lava Jato),Extensive corruption investigation impacting politics and businesses
2019-08-01,Amazon Rainforest Wildfires,International attention on Brazil's environmental policies and conservation efforts
2019-01-01,Bolsonaro Presidency Begins,Marked by controversial environmental policies and conservative agenda
0962-01-01,Foundation of the Holy Roman Empire,Establishment of the Holy Roman Empire
1075-01-01,The Investiture Controversy,Conflict between the monarchy and the papacy over appointment of bishops
1347-01-01,The Black Death in Europe,One of the most devastating pandemics in human history killing an estimated 25 million people in Europe
1517-10-31,Martin Luther's 95 Theses,Initiated the Protestant Reformation
1555-09-25,The Peace of Augsburg,Allowed rulers to choose between Lutheranism and Catholicism leading to religious division
1618-05-01,The Defenestration of Prague,Triggered the Thirty Years' War
1648-10-01,The Peace of Westphalia,Ended the Thirty Years' War marking the beginning of the state system
1701-01-01,The Foundation of the Kingdom of Prussia,Establishment of Prussia as a kingdom leading to its rise as a major European power
1756-01-01,The Seven Years' War,Confirmed Prussia's status as a great European power shaping European geopolitics
1772-01-01,The Partition of Poland,Prussia acquired West Prussia
1813-10-01,Napoleonic Wars and the Battle of Leipzig,Decisive defeat of Napoleon's forces leading to his retreat from Germany
1814-09-01,Congress of Vienna,Redrew the map of Europe after the Napoleonic Wars stabilizing the continent
1848-01-01,Revolutions of 1848 in the German states,Series of interconnected revolutions demanding national unification and liberal reforms
1871-01-01,Unification of Germany,Establishment of the German Empire under Prussian leadership
1870-07-01,FrancoUnknownPrussian War,Solidified German unification and shifted the balance of power in Europe
1814-07-01,World War I,Germany's defeat led to significant territorial losses and the Treaty of Versailles
1918-11-01,Weimar Republic Established,Transition from imperial to democratic governance though faced instability
1923-01-01,Hyperinflation Crisis,Economic crisis causing severe inflation crippling the economy
1933-01-01,Nazi Party's Rise to Power,Adolf Hitler becomes Chancellor leading to totalitarian regime and WWII
1938-11-01,Kristallnacht (Night of Broken Glass),Nationwide attack on Jewish people and properties
1939-09-01,Beginning of World War II,Invasion of Poland by Germany leading to global conflict
1941-01-01,The Holocaust,Systematic murder of six million Jews and millions of others
1942-07-01,Battle of Stalingrad,Turning point in WWII first major defeat of Nazi Germany
1944-06-01,DUnknownDay (Normandy Landings),Allied invasion of NaziUnknownoccupied Europe beginning of the end of WWII in Europe
1945-05-01,Surrender of Nazi Germany,End of World War II in Europe
1948-01-01,Marshall Plan Aid,US financial aid for European recovery postUnknownWWII significantly aiding West Germany's recovery
1949-05-01,Foundation of the Federal Republic of Germany (West Germany) and the German Democratic Republic (East Germany),Division of Germany into East and West marking the start of the Cold War era
1961-08-01,Construction of the Berlin Wall,Physical division of East and West Berlin preventing East Germans from fleeing to the West
1989-11-01,The Berlin Wall Falls,Symbolic end of the Cold War leading to German reunification
1990-10-01,German Reunification,Reunification of East and West Germany into a single German state
1990-09-01,Treaty on the Final Settlement with Respect to Germany,Ended the Four Power rights and responsibilities for Germany and Berlin paving the way for German reunification
1992-02-01,Establishment of the European,The Maastricht Treaty laid the foundation for further European integration
2002-01-01,Adoption of the Euro,Introduction of the Euro as the official currency replacing the Deutsche Mark
2006-07-01,2006 FIFA World Cup,Hosted the FIFA World Cup showcasing Germany on the global stage
2015-01-01,Refugee Crisis,Germany opens its borders to a large number of refugees sparking debates on immigration policy
1810-05-25,May Revolution,Beginning of the Argentine War for Independence from Spain
1816-07-09,Declaration of Independence,Formal declaration of independence from Spanish rule
1870-01-01,Conquest of the Desert,Expansion into Patagonian territories displacing indigenous populations
1930-01-01,Immigration Wave to Argentina,Significant European immigration shaping the cultural and demographic profile
1946-06-04,First Presidency of Juan Domin go Perón,Implementation of social and economic reforms workers' rights enhancement
1976-03-24,The Dirty War,Period of state terrorism against suspected dissidents and subversives
1982-04-02,Falklands War,Conflict with the UK over the Falkland Islands leading to Argentine defeat
1983-12-10,Return to Democracy,End of military rule and restoration of democracy
2001-12-01,2001 Economic Crisis,Severe economic crisis leading to social unrest and governmental changes
2010-07-15,SameUnknownSex Marriage Law,First country in Latin America to legalize sameUnknownsex marriage
2012-04-16,Nationalization of YPF,Government takeover of YPF from Repsol
1978-06-25,1978 FIFA World Cup Victory,Argentina wins its first FIFA World Cup boosting national pride
2018-01-01,Economic Crisis and IMF Loan,Severe economic crisis leading to the largest IMF loan in history
2013-03-13,Jorge Mario Bergoglio becomes Pope Francis,First Pope from the Americas global impact on Catholic Church
2001-12-01,Cacerolazo Protests,Mass protests against the government's handling of the economic crisis
2020-12-01,Legalization of Abortion,Legalization of abortion up to the 14th week of pregnancy
1400-01-01,Establishment of the Olmec Civilization,Development of the first major civilization in Mexico
0000-01-01,Founding of Teotihuacan,Rise of a major preUnknownColumbian city known for its pyramids
0250-01-01,Maya Civilization's Classical Period,"Flourishing of Maya science, art and architecture affecting trade networks and political power"
0750-01-01,The Fall of Teotihuacan,Mysterious decline of a powerful city
1325-07-18,Founding of Tenochtitlán,Establishment of the Aztec capital foundation for future Mexico City
1521-08-13,Arrival of the Spanish and the Fall of Tenochtitlán,Conquest of the Aztec Empire by Spanish forces
1521-01-01,Colonial Period Begins,Start of Spanish colonial rule impacting culture society governance
1810-09-16,Mexican War of Independence Begins,Start of a war against Spanish rule leading to eventual independence
1821-08-24,Treaty of Córdoba,Formal independence from Spain recognized
1821-09-28,First Mexican Empire Declared,Brief establishment of an empire soon transitioning to a republic
1846-04-25,U.S.UnknownMexican War,Loss of vast territories to the United States
1857-01-01,Reform Wars,Liberal vs. Conservative conflict leading to constitutional reforms
1862-01-01,French Intervention in Mexico,Establishment and fall of the Second Mexican Empire
1910-11-20,Mexican Revolution,Major revolution that transformed Mexican politics and society
